1   0 7.28897
1   1 13.1357
1   2 14.9498
1   3 24.62
1   4 32.89
1   5 41.88
1   6 49.14
2   1 14.9312
2   2 2.42492
2   3 11.231
2   4 17.5921
2   5 26.073
2   6 31.6097
2   7 40.94
2   8 49.17
3   0 28.67
3   1 25.32
3   2 11.68
3   3 14.0869
3   4 14.9071
3   5 20.9458
3   6 24.9549
3   7 33.053
3   8 40.7283
3   9 48.92
3  10 58.34
4   1 37.14
4   2 18.375
4   3 15.769
4   4 4.94167
4   5 11.3484
4   6 12.6075
4   7 20.1772
4   8 25.0778
4   9 33.659
4  10 39.95
4  11 49.76
4  12 57.45
5   1 47.32
5   2 27.677
5   3 22.9216
5   4 12.4165
5   5 12.0507
5   6 8.6679
5   7 13.3694
5   8 16.5621
5   9 23.664
5  10 28.958
5  11 37.112
5  12 43.77
5  13 51.85
5  14 58.78
5  15 67.13
5  16 75.72
6   2 35.064
6   3 28.911
6   4 15.6988
6   5 10.6503
6   6 0
6   7 3.12501
6   8 3.01989
6   9 9.8731
6  10 13.694
6  11 21.031
6  12 24.92
6  13 32.41
6  14 37.56
6  15 45.64
6  16 53.59
6  17 64.17
7   3 38.8
7   4 24.3
7   5 17.3381
7   6 5.34548
7   7 2.86342
7   8 0.101439
7   9 5.6839
7  10 7.87
7  11 13.113
7  12 15.856
7  13 21.77
7  14 25.25
7  15 32.04
7  16 38.32
7  17 46.94
7  18 55.98
8   4 31.915
8   5 23.115
8   6 8.00746
8   7 2.8556
8   8 -4.737
8   9 -0.808764
8  10 -0.782816
8  11 3.3329
8  12 3.7962
8  13 8.062
8  14 9.28
8  15 14.62
8  16 18.5
8  17 27.35
8  18 34.73
8  19 44.45
8  20 52.08
9   5 31.96
9   6 16.81
9   7 10.68
9   8 1.9517
9   9 0.8731
9  10 -1.48744
9  11 -0.017463
9  12 -0.0476
9  13 2.793
9  14 3.31
9  15 7.56
9  16 11.36
9  17 18.67
9  18 24.63
9  19 32.92
9  20 39.63
9  21 48.11
9  22 55.62
10   6 23.986
10   7 16.5005
10   8 5.3176
10   9 1.75205
10  10 -7.04193
10  11 -5.73178
10  12 -8.02471
10  13 -5.15404
10  14 -5.9516
10  15 -2.06
10  16 0.479
10  17 7.04
10  18 11.29
10  19 18.4
10  20 23.04
10  21 30.82
10  22 37
10  23 46
10  24 52.84
11   7 25.04
11   8 12.929
11   9 6.8506
11  10 -2.18464
11  11 -5.18152
11  12 -9.52985
11  13 -8.41796
11  14 -9.3578
11  15 -6.861
11  16 -5.518
11  17 -0.988
11  18 2.68
11  19 8.475
11  20 12.261
11  21 18.81
11  22 23.97
11  23 31.29
11  24 37.84
11  25 45.91
11  26 53.14
12   7 31.83
12   8 17.559
12   9 10.914
12  10 -0.3999
12  11 -5.4733
12  12 -13.9336
12  13 -13.1928
12  14 -16.2145
12  15 -14.5866
12  16 -15.0187
12  17 -10.603
12  18 -8.884
12  19 -3.122
12  20 -0.829
12  21 4.9622
12  22 8.323
