8   8 -4.84
8   9 -0.17
8  10 -2.62
8  11 2.56
8  12 2.57
8  13 8.2
8  14 10.41
8  15 17.72
8  16 22.14
8  17 30.93
8  18 36.75
8  19 46.58
8  20 53.73
8  21 65.03
8  22 72.83
8  23 82.3
8  24 91.32
8  25 104.63
8  26 113.7
9   8 1.9
9   9 1.21
9  10 -3.08
9  11 0.1
9  12 -0.68
9  13 3.08
9  14 4.24
9  15 9.32
9  16 12.81
9  17 19.94
9  18 24.99
9  19 33.22
9  20 39.88
9  21 49.32
9  22 53.55
9  23 63.38
9  24 72.02
9  25 83.79
9  26 93.12
9  27 104
9  28 110.24
9  29 124.51
10   8 3.21
10   9 0.47
10  10 -7.72
10  11 -5.87
10  12 -8.69
10  13 -5.01
10  14 -5.98
10  15 -0.98
10  16 1.02
10  17 7.25
10  18 10.02
10  19 17.83
10  20 22.44
10  21 29.13
10  22 33.32
10  23 42.96
10  24 49.56
10  25 60.85
10  26 68.78
10  27 79.59
10  28 84.85
10  29 98.86
10  30 107.82
10  31 118.93
11   8 11.47
11   9 6.16
11  10 -2.82
11  11 -4.93
11  12 -9.82
11  13 -7.43
11  14 -8.97
11  15 -5.89
11  16 -5.18
11  17 -0.73
11  18 2.48
11  19 8.21
11  20 12.25
11  21 18.44
11  22 23.14
11  23 30
11  24 36.19
11  25 45.38
11  26 52.41
11  27 61.44
11  28 68.78
11  29 80.14
11  30 88.51
11  31 99.15
11  32 107.71
11  33 118.77
12   8 16.07
12   9 9.86
12  10 -1.5
12  11 -5.84
12  12 -14.08
12  13 -12.52
12  14 -16.39
12  15 -12.54
12  16 -14.5
12  17 -9.34
12  18 -9.14
12  19 -3.55
12  20 -1.42
12  21 5.36
12  22 7.89
12  23 14.92
12  24 19.16
12  25 27.56
12  26 32.74
12  27 41.12
12  28 45.42
12  29 58.18
12  30 65.52
12  31 76.28
12  32 78.06
12  33 95.37
12  34 101.1
12  35 115.53
13   8 26.48
13   9 18.04
13  10 6.45
13  11 0.4
13  12 -8.45
13  13 -10.77
13  14 -16.9
13  15 -15.48
13  16 -16.44
13  17 -14.48
13  18 -14.4
13  19 -10.76
13  20 -9.07
13  21 -4.21
13  22 -1.54
13  23 4.39
13  24 8.29
13  25 15.18
13  26 20.06
13  27 28.15
13  28 30.43
13  29 41.11
13  30 49.47
13  31 58.38
13  32 61.22
13  33 76.24
13  34 84.7
13  35 95.83
13  36 105.02
13  37 115.13
13  38 123.86
14   8 33.17
14   9 23.6
14  10 9.82
14  11 3.2
14  12 -8.35
14  13 -12.73
14  14 -21.1
14  15 -20.38
14  16 -22.48
14  17 -20.51
14  18 -22.3
14  19 -19.29
14  20 -19.51
14  21 -14.76
14  22 -13.37
14  23 -7.95
14  24 -5.73
14  25 0.88
14  26 4.82
14  27 9.78
14  28 12.87
14  29 22.62
14  30 29.17
14  31 38.44
14  32 42.28
14  33 55.21
14  34 62.62
14  35 73.26
14  36 81.03
14  37 92
14  38 99.17
14  39 109.51
14  40 117.75
15   8 45.66
15   9 33.78
15  10 20.52
15  11 11.39
15  12 1.05
15  13 -6.5
15  14 -15.89
15  15 -17.43
15  16 -21.94
15  17 -21.75
15  18 -24
15  19 -22.78
15  20 -23.46
15  21 -20.42
15  22 -19.44
15  23 -15.19
15  24 -13.41
15  25 -8.35
15  26 -5.48
15  27 0.62
15  28 3.19
15  29 11.64
15  30 17.18
15  31 24.86
15  32 29.18
15  33 39.81
15  34 46.6
15  35 56.55
15  36 64.34
15  37 73.74
15  38 81.71
15  39 91.06
15  40 98.86
15  41 109.64
15  42 118.58
16   8 55.74
16   9 43.4
16  10 27.74
16  11 17.22
16  12 3.88
16  13 -2.7
16  14 -12.3
16  15 -16.59
16  16 -23.75
16  17 -24.37
16  18 -28.32
16  19 -27.57
16  20 -29.95
16  21 -27.26
16  22 -27.78
16  23 -24.3
16  24 -23.88
16  25 -19.2
16  26 -17.79
16  27 -12.15
16  28 -9.38
16  29 -2.64
16  30 1.72
16  31 9.22
16  32 14.05
16  33 22.25
16  34 27.65
16  35 37.67
16  36 44.48
16  37 53.87
16  38 60.74
16  39 70.61
16  40 77.62
16  41 87.57
16  42 95.55
16  43 108.22
16  44 117.2
17   8 70.02
17   9 54.31
17  10 39.29
17  11 28.26
17  12 14.83
17  13 4.91
17  14 -5.38
17  15 -11.47
17  16 -19.01
17  17 -23.12
17  18 -28.11
17  19 -28.4
17  20 -31.19
17  21 -30.27
17  22 -31.12
17  23 -28.68
17  24 -28.57
17  25 -25.27
17  26 -24.05
17  27 -19.91
17  28 -18.31
17  29 -12.63
17  30 -8.64
17  31 -2.06
17  32 2.62
17  33 9.89
17  34 15.29
17  35 23.56
17  36 30.24
17  37 38.73
17  38 45.9
17  39 54.66
17  40 61.71
17  41 69.42
17  42 76.33
17  43 85.75
17  44 92.41
17  45 102.6
17  46 111.67
18   9 64.71
18  10 45.81
18  11 35.41
18  12 19.95
18  13 10.79
18  14 -2.12
18  15 -7.76
18  16 -17.03
18  17 -22.48
18  18 -29.56
18  19 -30.96
18  20 -35.38
18  21 -34.77
18  22 -36.53
18  23 -34.39
18  24 -35.62
18  25 -32.88
18  26 -33.3
18  27 -30.03
18  28 -28.99
18  29 -24.03
18  30 -21.24
18  31 -14.88
18  32 -11.47
18  33 -4.48
18  34 -0.29
18  35 7.56
18  36 12.86
18  37 20.22
18  38 24.98
18  39 34.13
18  40 40.49
18  41 49.31
18  42 55.56
18  43 64.38
18  44 70.32
18  45 80.57
18  46 88.39
18  47 99.44
18  48 108.94
18  49 119.56
